Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Arkansas,040018-G01,40018,ADONA,MPO/MODULAR BUILDING,1892 HIGHWAY 10 W,PERRY,ADONA,AR,72001-9998,Active,Owned,1352399,Y20011,Post Office,Remotely Managed Post Office (RMPO),USPS Personal Property,Land Data on separate record,No,8/1/1997,736
Arkansas,040162-G01,40162,ALPENA,MAIN OFFICE,105 N DENTON ST,BOONE,ALPENA,AR,72611-9998,Active,Owned,1352801,Y20027,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,3/1/1999,"2,940"
Arkansas,040441-G01,40441,AVOCA,MAIN OFFICE,280 HIGHWAY 62 N,BENTON,AVOCA,AR,72711-9998,Active,Owned,1353776,Y20061,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,4/1/1975,874
Arkansas,040639-G01,40639,BEARDEN,MAIN OFFICE,160 N PLUM ST,OUACHITA,BEARDEN,AR,71720-9998,Active,Owned,1354327,Y20084,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,2/1/1961,"2,090"
Arkansas,040765-G02,40765,BENTON,MAIN OFFICE,1425 MILITARY RD,SALINE,BENTON,AR,72015-9998,Active,Owned,1354695,Y20098,Post Office,Administrative Post Office (APO),Unknown,Unknown,Yes,8/1/1999,"30,872"
Arkansas,040774-G03,40774,BENTONVILLE,MAIN OFFICE,1706 S WALTON BLVD,BENTON,BENTONVILLE,AR,72712-7172,Active,Owned,1354703,Y20099,Post Office,Main Post Office,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,8/1/2001,"29,140"
Arkansas,040792-G01,40792,BERRYVILLE,MAIN OFFICE,101 E MADISON AVE STE 100,CARROLL,BERRYVILLE,AR,72616-9998,Active,Owned,1354774,Y20103,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1939,"8,376"
Arkansas,041017-G01,41017,BLUFFTON,MPO/MODULAR BLDG,22263 W HIGHWAY 28,YELL,BLUFFTON,AR,72827-9998,Active,Owned,1355286,Y20133,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,1/1/1996,736
Arkansas,041026-G03,41026,BLYTHEVILLE,MAIN OFFICE,600 N BROADWAY ST,MISSISSIPPI,BLYTHEVILLE,AR,72315-9998,Active,Owned,1355302,Y20134,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,7/1/1993,"15,342"
Arkansas,041035-G01,41035,BOARD CAMP,MPO/MODULAR BLDG,4199 HIGHWAY 8 E,POLK,BOARD CAMP,AR,71932-8800,Active,Owned,1355306,Y20136,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,3/1/1996,736
