Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Central Illinois,160006-G01,160006,ABINGDON,MAIN OFFICE,123 W MEEK ST,KNOX,ABINGDON,IL,61410-9998,Active,Owned,1352287,W11795,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1940,"6,618"
Central Illinois,160030-G01,160030,ADDISON,MAIN OFFICE,175 S LINCOLN AVE,DU PAGE,ADDISON,IL,60101-5816,Active,Owned,1352373,W11801,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1976,"11,365"
Gateway,160066-G01,160066,ALBION,MAIN OFFICE,104 W MAIN ST,EDWARDS,ALBION,IL,62806-9998,Active,Owned,1352612,W11812,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,10/1/1940,"6,932"
Hawkeye,160078-G01,160078,ALEDO,MAIN OFFICE,117 N COLLEGE AVE,MERCER,ALEDO,IL,61231-9998,Active,Owned,1352648,W11816,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1918,"6,591"
Central Illinois,160096-G01,160096,ALGONQUIN,MAIN OFFICE,801 W ALGONQUIN RD,MCHENRY,ALGONQUIN,IL,60102-2487,Active,Owned,1352686,W11820,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1994,"16,756"
Gateway,160216-G01,160216,ANNA,MAIN OFFICE,201 N MAIN ST,UNION,ANNA,IL,62906-9998,Active,Owned,1353104,W11862,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1937,"8,191"
Central Illinois,160276-G01,160276,ARLINGTON,MAIN OFFICE,203 E RAILROAD AVE,BUREAU,ARLINGTON,IL,61312-9800,Active,Owned,1353342,W11882,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased","USPS Land, Prev. Leased",No,7/1/2000,915
Lakeland,160282-G01,160283,ARLINGTON HEIGHTS,ELK GROVE VILLAGE BR,611 LANDMEIER RD,COOK,ELK GROVE VILLAGE,IL,60007-4765,Active,Owned,1434847,W12839,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1979,"14,933"
Lakeland,160282-G02,160282,ARLINGTON HEIGHTS,MAIN OFFICE,909 W EUCLID AVE,COOK,ARLINGTON HEIGHTS,IL,60005-9998,Active,Owned,1353341,W11888,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,9/1/1969,"27,224"
Gateway,160312-G01,160312,ARTHUR,MAIN OFFICE,315 S VINE ST STE 2,MOULTRIE,ARTHUR,IL,61911-9998,Active,Owned,1353426,W11902,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1966,"4,397"
