Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Greater Indiana,170110-G01,170110,ALEXANDRIA,MAIN OFFICE,205 W CHURCH ST,MADISON,ALEXANDRIA,IN,46001-9998,Active,Owned,1352672,X11435,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,4/1/1936,"8,605"
Greater Indiana,170165-G01,170165,AMBIA,MAIN OFFICE,109 E OAK ST,BENTON,AMBIA,IN,47917-9998,Active,Owned,1352926,X11448,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased","USPS Land, Prev. Leased",No,4/1/1993,950
Greater Indiana,170198-G05,170198,ANDERSON,MAIN OFFICE,1505 RAIBLE AVE,MADISON,ANDERSON,IN,46011-9998,Active,Owned,1353048,X11453,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,11/1/1962,"30,336"
Greater Indiana,170330-G01,170330,ATTICA,MAIN OFFICE,107 E MAIN ST,FOUNTAIN,ATTICA,IN,47918-9998,Active,Owned,1353629,X11496,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1936,"6,946"
Greater Indiana,170352-G02,170352,AUBURN,MAIN OFFICE,201 S JACKSON ST,DE KALB,AUBURN,IN,46706-9998,Active,Owned,1353665,X11498,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,2/1/1935,"9,094"
Ohio Valley,170363-G01,170363,AURORA,MAIN OFFICE,501 3RD ST,DEARBORN,AURORA,IN,47001-9998,Active,Owned,1353714,X11501,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,1/1/1936,"5,967"
Ohio Valley,170440-G01,170440,BATESVILLE,MAIN OFFICE,3 W GEORGE ST,RIPLEY,BATESVILLE,IN,47006-9998,Active,Owned,1354184,X11539,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1937,"6,776"
Greater Indiana,170473-G02,170473,BEDFORD,MAIN OFFICE,1720 H ST,LAWRENCE,BEDFORD,IN,47421-9998,Active,Owned,1354396,X11550,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,2/1/1976,"7,709"
Greater Indiana,170550-G01,170550,BERNE,MAIN OFFICE,215 W MAIN ST,ADAMS,BERNE,IN,46711-9998,Active,Owned,1354759,X11574,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1938,"5,220"
Kentuckiana,170561-G01,170561,BETHLEHEM,MAIN OFFICE MODULAR,101 2ND ST,CLARK,BETHLEHEM,IN,47104-9998,Active,Owned,,,,,"USPS Building, Not Prev. Leased",Land Data on separate record,No,8/1/2001,700
