Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Connecticut Valley,240068-G01,240068,ADAMS,MAIN OFFICE,1 CENTER ST,BERKSHIRE,ADAMS,MA,01220-9998,Active,Owned,1352357,V21396,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,1/1/1940,"7,470"
Connecticut Valley,240085-G01,240085,AGAWAM,MAIN OFFICE,600 SUFFIELD ST,HAMPDEN,AGAWAM,MA,01001-9998,Active,Owned,1352428,V21399,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1990,"14,821"
Greater Boston,240119-G02,240119,AMESBURY,MAIN OFFICE,200 MAIN ST,ESSEX,AMESBURY,MA,01913-9998,Active,Owned,1352960,V21412,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,1/1/1977,"7,052"
Connecticut Valley,240136-G03,240136,AMHERST,NEW MAIN OFFICE,145 UNIVERSITY DR,HAMPSHIRE,AMHERST,MA,01002-9998,Active,Owned,1352972,V21413,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1990,"18,070"
Connecticut Valley,240136-G01,240136,AMHERST,NORTH PLEASANT STA,141 N PLEASANT ST,HAMPSHIRE,AMHERST,MA,01002-9997,Active,Owned,1374336,1136,Post Office,Finance Station,"USPS Building, Transferred","USPS Land, Transferred",Yes,5/1/1926,"16,652"
Greater Boston,240153-G02,240153,ANDOVER,MAIN OFFICE,10 STEVENS ST,ESSEX,ANDOVER,MA,01810-3572,Active,Owned,1353054,V21415,Post Office,Main Post Office,"USPS Building, Const. by USPS",Land Data on separate record,Yes,11/1/1988,"14,512"
Greater Boston,240204-G01,240204,ASHBURNHAM,MAIN OFFICE,123 CENTRAL ST,WORCESTER,ASHBURNHAM,MA,01430-9998,Active,Owned,1353457,V21422,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,10/1/1991,"7,759"
Greater Boston,240255-G01,240255,ASHLAND,MAIN OFFICE,205 MAIN ST,MIDDLESEX,ASHLAND,MA,01721-9998,Active,Owned,1353481,V21426,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1939,"6,848"
Connecticut Valley,240323-G01,240323,ATHOL,MAIN OFFICE,242 MAIN ST,WORCESTER,ATHOL,MA,01331-9998,Active,Owned,1353572,V21436,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,12/1/1961,"11,458"
Connecticut Valley,240340-G02,240340,ATTLEBORO,MAIN OFFICE,901 PLEASANT ST,BRISTOL,ATTLEBORO,MA,02703-9998,Active,Owned,1353631,V21437,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1991,"18,261"
Greater Boston,240391-G01,240391,AYER,MAIN OFFICE,1 COLUMBIA ST,MIDDLESEX,AYER,MA,01432-9998,Active,Owned,1353813,V21444,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1941,"11,939"
Greater Boston,240612-G01,240612,BELLINGHAM,MAIN OFFICE,111 MECHANIC ST,NORFOLK,BELLINGHAM,MA,02019-9998,Active,Owned,1354546,V21475,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1991,"17,179"
Greater Boston,240680-G02,240680,BEVERLY,I. M. F.,16 TOZER RD,ESSEX,BEVERLY,MA,01915-9997,Active,Owned,1354857,V21485,Post Office,Delivery Distribution Center (DDC),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1990,"41,905"
Greater Boston,240680-G01,240680,BEVERLY,MAIN OFFICE,151 RANTOUL ST,ESSEX,BEVERLY,MA,01915-9998,Active,Owned,1354865,V21484,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1911,"10,273"
Greater Boston,240714-G01,240714,BILLERICA ,D M U,5 BRICK KILN RD,MIDDLESEX,BILLERICA,MA,01821-9991,Active,Owned,1354963,V27323,Post Office,Delivery Distribution Center (DDC),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,5/1/1990,"25,765"
Greater Boston,240799-G14,240052,BOSTON,ARLINGTON,10 COURT ST,SUFFOLK,ARLINGTON,MA,02476-9998,Active,Owned,1434222,V21417,Post Office,Branch,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,4/1/1936,"23,370"
Greater Boston,240799-G20,240074,BOSTON,BACK BAY CONDO,133 CLARENDON ST,SUFFOLK,BOSTON,MA,02116-5132,Active,Owned,1450369,12377,Post Office,Station,"USPS Building, Not Prev. Leased",No Land,Yes,9/30/2009,"19,523"
Greater Boston,240799-G16,240004,BOSTON,BROOKLINE BRANCH,1295 BEACON ST,SUFFOLK,BROOKLINE,MA,02446-9998,Active,Owned,1434243,V21558,Post Office,Branch,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1935,"16,105"
Greater Boston,240799-G05,240006,BOSTON,CHESTNUT HILL,12 MIDDLESEX RD,SUFFOLK,CHESTNUT HILL,MA,02467-9998,Active,Owned,1434247,V21615,Post Office,Branch,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,6/1/1940,"9,305"
Greater Boston,240799-G25,240799,BOSTON,FIELDS CORNER C/A,18 CLAYTON ST,SUFFOLK,DORCHESTER,MA,02122-9997,Active,Owned,1363359,1042,Post Office,Carrier Annex (ANX),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,4/1/2000,"7,722"
Greater Boston,240799-G26,240799,BOSTON,GROVE HALL,647 WARREN ST,SUFFOLK,DORCHESTER,MA,02121-9998,Active,Owned,1365780,V21853,Post Office,Finance Station,Lease Purchase,Lease Purchase,Yes,3/1/1959,"7,584"
Greater Boston,240799-G44,240055,BOSTON,IMC,307 BEACHAM ST,SUFFOLK,CHELSEA,MA,02150-9992,Active,Owned,1454125,14546,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,5/1/1978,"52,997"
Greater Boston,240799-G22,240007,BOSTON,LEXINGTON ,1661 MASSACHUSETTS AVE,MIDDLESEX,LEXINGTON,MA,02420-9998,Active,Owned,1434275,V21978,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1938,"18,069"
Greater Boston,240799-G13,240066,BOSTON,MEDFORD,20 FOREST ST,SUFFOLK,MEDFORD,MA,02155-9998,Active,Owned,1434278,V22044,Post Office,Branch,"USPS Building, Transferred","USPS Land, Transferred",Yes,11/1/1937,"18,647"
Greater Boston,240799-G11,240041,BOSTON,MILTON ,499 ADAMS ST,SUFFOLK,MILTON,MA,02186-9998,Active,Owned,1434282,V22074,Post Office,Branch,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1937,"11,889"
Greater Boston,240799-G18,240008,BOSTON,NEEDHAM BRANCH,1150 GREAT PLAIN AVE,SUFFOLK,NEEDHAM,MA,02492-9998,Active,Owned,1434287,V22142,Post Office,Branch,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,4/1/1971,"15,195"
Greater Boston,240801-G06,240801,BOSTON,P&DC,25 DORCHESTER AVE RM 4025B,SUFFOLK,BOSTON,MA,02205-0016,Active,Owned,1000012,8206,Administrative Office,Consumer Affairs Office,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,7/1/1935,"1,233,935"
Greater Boston,240801-G06,240801,BOSTON,P&DC,25 DORCHESTER AVE RM 4025B,SUFFOLK,BOSTON,MA,02205-0016,Active,Owned,1434261,V21796,Post Office,Station,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,7/1/1935,"1,233,935"
Greater Boston,240801-G06,240801,BOSTON,P&DC,25 DORCHESTER AVE RM 4025B,SUFFOLK,BOSTON,MA,02205-0016,Active,Owned,1434693,V27736,Administrative Office,District Administrative Office (DM),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,7/1/1935,"1,233,935"
Greater Boston,240801-G06,240801,BOSTON,P&DC,25 DORCHESTER AVE RM 4025B,SUFFOLK,BOSTON,MA,02205-0016,Active,Owned,1441061,V21507,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,7/1/1935,"1,233,935"
Greater Boston,240801-G06,240801,BOSTON,P&DC,25 DORCHESTER AVE RM 4025B,SUFFOLK,BOSTON,MA,02205-0016,Active,Owned,1540283,18968,Post Office,Carrier Section (SEC),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,7/1/1935,"1,233,935"
Greater Boston,240801-G06,240801,BOSTON,P&DC,25 DORCHESTER AVE RM 4025B,SUFFOLK,BOSTON,MA,02205-0016,Active,Owned,1544995,19070,Post Office,Carrier Section (SEC),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,7/1/1935,"1,233,935"
Greater Boston,240799-G08,240045,BOSTON,QUINCY,47 WASHINGTON ST,NORFOLK,QUINCY,MA,02169-5301,Active,Owned,1434308,V22334,Post Office,Branch,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1909,"24,838"
Greater Boston,240799-G46,240061,BOSTON,REVERE CARRIER ANNEX,140 WARD ST,SUFFOLK,REVERE,MA,02151-9990,Active,Owned,1379132,1295,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Prev. Leased",Yes,4/1/2001,"21,500"
