Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Baltimore,230378-G50,230378,(DO NOT USE),USE ZIP 21205,60 W OLIVER ST,BALTIMORE CITY,BALTIMORE,MD,21201-9351,Active,Owned,1539877,18959,Other Operations Facilities,Network Operations Vehicle Maintenance Facility (VMF),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,2/1/1997,"36,601"
Baltimore,230036-G01,230036,ABERDEEN,MAIN OFFICE,30 W BEL AIR AVE,HARFORD,ABERDEEN,MD,21001-9998,Active,Owned,1352274,V22873,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1937,"4,750"
Baltimore,230072-G01,230072,ABINGDON,MAIN OFFICE,2945 EMMORTON RD,HARFORD,ABINGDON,MD,21009-9998,Active,Owned,1352288,V22875,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1985,"4,150"
Baltimore,230090-G01,230090,ACCIDENT,MAIN OFFICE,103 SOUTH ST,GARRETT,ACCIDENT,MD,21520-9998,Active,Owned,1352303,V22877,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,11/1/1985,"2,560"
Baltimore,230221-G01,230221,ANNAPOLIS,CAX,210 ADMIRAL COCHRANE DR,ANNE ARUNDEL,ANNAPOLIS,MD,21401-7388,Active,Owned,1449708,11969,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1993,"48,876"
Baltimore,230216-G03,230217,ANNAPOLIS,EASTPORT STATION,821 CHESAPEAKE AVE,ANNE ARUNDEL,ANNAPOLIS,MD,21403-9998,Active,Owned,1361944,V23390,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1975,"17,920"
Baltimore,230378-G22,230397,BALTIMORE,ARLINGTON STATION,3500 DOLFIELD AVE,BALTIMORE CITY,BALTIMORE,MD,21215-9998,Active,Owned,1353364,V22904,Post Office,Station,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,1/1/1986,"17,065"
Baltimore,230398-G01,230398,BALTIMORE,BROOKLYN CURTIS BAY ,10 16TH AVE,BALTIMORE,BROOKLYN,MD,21225-9998,Active,Owned,1434370,V23044,Post Office,Finance Branch,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,12/1/1963,"6,917"
Baltimore,230378-G63,230378,BALTIMORE,BROOKLYN SOUTH CARRIER AX,1500 CHERRY HILL RD,BALTIMORE CITY,BROOKLYN,MD,21225-9997,Active,Owned,1443187,7205,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/2005,"26,996"
Baltimore,230431-G01,230431,BALTIMORE,CARRIER DELIVERY UNIT,1000 E LEXINGTON ST,BALTIMORE CITY,BALTIMORE,MD,21202-9998,Active,Owned,1361161,V28283,Post Office,Carrier Annex (ANX),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,1/1/1998,"33,000"
Baltimore,230401-G01,230401,BALTIMORE,CARROLL STATION,340 S LOUDON AVE,BALTIMORE CITY,BALTIMORE,MD,21229-9998,Active,Owned,1357114,V23108,Post Office,Station,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,4/1/1964,"8,734"
