Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Greensboro,360072-G02,360072,AHOSKIE,MAIN OFFICE,115 CHURCH ST W,HERTFORD,AHOSKIE,NC,27910-9998,Active,Owned,1352450,Y14683,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/1975,"9,484"
Mid-Carolinas,360096-G01,360096,ALBEMARLE,MAIN OFFICE,320 S 2ND ST,STANLY,ALBEMARLE,NC,28001-5704,Active,Owned,1352582,Y14688,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,2/1/1967,"15,662"
Mid-Carolinas,360184-G01,360184,ANDREWS,MAIN OFFICE,12 CHESTNUT ST,CHEROKEE,ANDREWS,NC,28901-9748,Active,Owned,1353072,Y14704,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1965,"5,000"
Greensboro,360208-G01,360208,APEX,MAIN OFFICE,501 W WILLIAMS ST,WAKE,APEX,NC,27502-9998,Active,Owned,1353180,Y14709,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1988,"15,558"
Greensboro,360208-G01,360208,APEX,MAIN OFFICE,501 W WILLIAMS ST,WAKE,APEX,NC,27502-9998,Active,Owned,1544657,19066,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1988,"15,558"
Greensboro,360296-G04,360296,ASHEBORO,MAIN OFFICE,1030 S CHURCH ST,RANDOLPH,ASHEBORO,NC,27203-6499,Active,Owned,1353465,Y14728,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/2000,"23,310"
Mid-Carolinas,360304-G08,360304,ASHEVILLE,DOWNTOWN STATION,33 COXE AVE,BUNCOMBE,ASHEVILLE,NC,28801-3308,Active,Owned,1353470,Y14730,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,4/1/1987,"8,000"
Mid-Carolinas,360304-G08,360304,ASHEVILLE,DOWNTOWN STATION,33 COXE AVE,BUNCOMBE,ASHEVILLE,NC,28801-3308,Active,Owned,1361176,Y15151,Post Office,Finance Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,4/1/1987,"8,000"
Mid-Carolinas,360304-G02,360306,ASHEVILLE,GRACE STATION,725 MERRIMON AVE,BUNCOMBE,ASHEVILLE,NC,28804-2447,Active,Owned,1365236,Y15436,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1977,"8,980"
Mid-Carolinas,360304-G07,360305,ASHEVILLE,LONDON RD CARRIER ANNEX,37 LONDON RD,BUNCOMBE,ASHEVILLE,NC,28803-2706,Active,Owned,1370833,Y18604,Post Office,Carrier Annex (ANX),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,9/1/1990,"10,800"
