Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
South Jersey,330015-G01,330015,ABSECON,MAIN OFFICE,1001 NEW JERSEY AVE,ATLANTIC,ABSECON,NJ,08201-1448,Active,Owned,1352298,V10009,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1987,"11,000"
South Jersey,330045-G01,330045,ADELPHIA,MAIN OFFICE,16 WYCKOFF MILLS RD,MONMOUTH,ADELPHIA,NJ,07710-9800,Active,Owned,1433538,V10013,Post Office,Main Post Office,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,6/1/1985,824
South Jersey,330120-G01,330120,ALLENWOOD,MAIN OFFICE,3212 ALLENWOOD LAKEWOOD RD,MONMOUTH,ALLENWOOD,NJ,08720-9800,Active,Owned,1352743,V10022,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,8/1/1985,"2,322"
Northern New Jersey,330240-G01,330240,ASBURY,MAIN OFFICE,285 ASBURY ANDERSON RD,WARREN,ASBURY,NJ,08802-9998,Active,Owned,1353441,V10040,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,8/1/1962,"1,846"
South Jersey,330255-G01,330255,ASBURY PARK,MAIN OFFICE,801 BANGS AVE,MONMOUTH,ASBURY PARK,NJ,07712-9998,Active,Owned,1353444,V10042,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,3/1/1912,"28,908"
South Jersey,330285-G01,330285,ATCO,MAIN OFFICE,408 FRONT ST,CAMDEN,ATCO,NJ,08004-1100,Active,Owned,1353552,V10046,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1988,"12,370"
South Jersey,330300-G04,330300,ATLANTIC CITY,CARRIER ANNEX,800 ABSECON BLVD,ATLANTIC,ATLANTIC CITY,NJ,08401-2599,Active,Owned,1449439,11728,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,,"13,262"
South Jersey,330300-G03,330302,ATLANTIC CITY,MARGATE BRANCH,8 S FRANKLIN AVE,ATLANTIC,MARGATE CITY,NJ,08402-2754,Active,Owned,1433605,V10843,Post Office,Branch,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,,"3,690"
Northern New Jersey,330360-G01,330360,AVENEL,MAIN OFFICE,1065 RAHWAY AVE,MIDDLESEX,AVENEL,NJ,07001-9998,Active,Owned,1353753,V10063,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,2/1/1965,"5,780"
South Jersey,330405-G01,330405,BARNEGAT,CARRIER ANNEX,685 E BAY AVE,OCEAN,BARNEGAT,NJ,08005-2400,Active,Owned,1450655,12578,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,1/1/1980,"5,192"
Northern New Jersey,330465-G01,330465,BASKING RIDGE,MAIN OFFICE,21 BROWNLEE PL,SOMERSET,BASKING RIDGE,NJ,07920-9998,Active,Owned,1354154,V10079,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,3/1/1976,"7,980"
Northern New Jersey,330495-G01,330495,BAYONNE,MAIN OFFICE,570 BROADWAY,HUDSON,BAYONNE,NJ,07002-9998,Active,Owned,1354266,V10082,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1928,"22,000"
South Jersey,330510-G02,330510,BAYVILLE,MAIN OFFICE,801 ATLANTIC CITY BLVD,OCEAN,BAYVILLE,NJ,08721-9998,Active,Owned,1354285,V10083,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,,"14,735"
South Jersey,330645-G01,330645,BELMAR,MAIN OFFICE,1300 MAIN ST,MONMOUTH,BELMAR,NJ,07719-9998,Active,Owned,1354567,V10105,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,3/1/1936,"14,595"
Northern New Jersey,330675-G01,330675,BERGENFIELD,MAIN OFFICE,25 VETERANS PLZ,BERGEN,BERGENFIELD,NJ,07621-9998,Active,Owned,1354720,V10111,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,5/1/1972,"19,668"
