Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Arizona,340105-G01,340105,ALAMOGORDO,MAIN OFFICE,930 12TH ST,OTERO,ALAMOGORDO,NM,88310-9998,Active,Owned,1352555,Z13500,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1998,"23,309"
Arizona,340152-G14,340129,ALBUQUERQUE,(Old AMF) Retail-Carr Sta,2100 GEORGE RD SE,BERNALILLO,ALBUQUERQUE,NM,87106-5629,Active,Owned,1352498,Z13495,Post Office,Station,"USPS Building, Const. by USPS",Land Data on separate record,Yes,6/1/1991,"35,594"
Arizona,340147-G11,340128,ALBUQUERQUE,ACADEMY STATION,6255 SAN ANTONIO DR NE,BERNALILLO,ALBUQUERQUE,NM,87109-9998,Active,Owned,1352299,Z13491,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1988,"26,490"
Arizona,340148-G28,340148,ALBUQUERQUE,BATTERY BLDG,1135 BROADWAY NE,BERNALILLO,ALBUQUERQUE,NM,87101-9998,Active,Owned,,,,,"USPS Building, Const. by USPS",Land Data on separate record,No,1/1/1995,864
Arizona,340150-G31,340147,ALBUQUERQUE,EMERGENCY MODULAR UNI,1135 BROADWAY BLVD NE,BERNALILLO,ALBUQUERQUE,NM,87101-9991,Active,Owned,,,,,"USPS Building, Not Prev. Leased",Land Data on separate record,No,3/1/1995,550
Arizona,340147-G16,340133,ALBUQUERQUE,FIVE POINTS STATION,1050 SUNSET RD SW,BERNALILLO,ALBUQUERQUE,NM,87105-9998,Active,Owned,1363463,Z13730,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1989,"18,860"
Arizona,340147-G42,340134,ALBUQUERQUE,FOOTHILLS STATION,13101 LOMAS BLVD NE,BERNALILLO,ALBUQUERQUE,NM,87123-9998,Active,Owned,1363636,Z18238,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1997,"18,171"
Arizona,340147-G12,340136,ALBUQUERQUE,HIGHLAND STATION,111 ALVARADO DR SE,BERNALILLO,ALBUQUERQUE,NM,87108-9998,Active,Owned,1366948,Z13797,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/1988,"26,989"
Arizona,340147-G12,340136,ALBUQUERQUE,HIGHLAND STATION,111 ALVARADO DR SE,BERNALILLO,ALBUQUERQUE,NM,87108-9998,Active,Owned,1448380,10919,Training Facility,Training Facilities,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/1988,"26,989"
Arizona,340147-G08,340127,ALBUQUERQUE,MAIN OFC CARRIER ANNX,1135 BROADWAY BLVD NE BLDG C,BERNALILLO,ALBUQUERQUE,NM,87101-9901,Active,Owned,1352618,Z18912,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS",Land Data on separate record,No,4/1/1975,"8,500"
