state_county,num_post_offices,fips
AK, Aleutians East,4,02013
AK, Aleutians West,2,02016
AK, Anchorage,10,02020
AK, Bethel,20,02050
AK, Bristol Bay,4,02060
AK, Central,2,NA
AK, Denali,4,02068
AK, Dillingham,8,02070
AK, Fairbanks N Star,12,NA
AK, Haines,4,02100
AK, Juneau,2,02110
AK, Kenai Peninsula,14,02122
AK, Ketchikan Gtwy N,2,NA
AK, Kodiak Island,8,02150
AK, Lake Peninsula,6,NA
AK, Matanuskasusitna,10,NA
AK, Nome,10,02180
AK, North Slope,8,02185
AK, Northwest Arctic,18,02188
AK, Prince Of Wales-Outer Ketchikan,4,NA
AK, Prwales Otrketch,4,NA
AK, Se Fairbanks,8,NA
AK, Sitka,2,02220
AK, Valdez-Cordova,8,02261
AK, Wade Hampton,2,02270
AK, Wrangell Ptrsbrg,4,NA
AK, Wrangell-Petersburg,2,02280
AK, Yukon-Koyukuk,26,02290
AL, Autauga,4,01001
AL, Baldwin,8,01003
AL, Barbour,2,01005
AL, Blount,2,01009
AL, Bullock,2,01011
AL, Butler,4,01013
AL, Calhoun,10,01015
AL, Chambers,2,01017
AL, Chilton,4,01021
AL, Clarke,2,01025
AL, Coffee,2,01031
AL, Colbert,4,01033
AL, Conecuh,2,01035
AL, Coosa,4,01037
AL, Covington,2,01039
AL, Crenshaw,2,01041
AL, Cullman,4,01043
AL, Dale,4,01045
AL, Dallas,4,01047
AL, De Kalb,4,01049
AL, Elmore,2,01051
AL, Escambia,4,01053
AL, Etowah,2,01055
AL, Fayette,2,01057
AL, Franklin,2,01059
AL, Greene,4,01063
AL, Hale,2,01065
AL, Jackson,6,01071
AL, Jefferson,22,01073
AL, Lauderdale,4,01077
AL, Lee,4,01081
AL, Limestone,4,01083
AL, Madison,2,01089
AL, Marengo,4,01091
AL, Marion,2,01093
AL, Marshall,4,01095
AL, Mobile,10,01097
AL, Monroe,2,01099
AL, Morgan,4,01103
AL, Perry,2,01105
AL, Pickens,2,01107
AL, Pike,2,01109
AL, Russell,2,01113
AL, Shelby,10,01117
AL, St. Clair,4,01115
AL, Sumter,2,01119
AL, Talladega,2,01121
AL, Tallapoosa,2,01123
AL, Tuscaloosa,6,01125
AL, Walker,2,01127
AL, Washington,2,01129
AL, Winston,2,01133
AR, Arkansas,2,05001
AR, Ashley,2,05003
AR, Baxter,2,05005
AR, Benton,10,05007
AR, Boone,8,05009
AR, Calhoun,2,05013
AR, Carroll,4,05015
AR, Chicot,2,05017
AR, Clay,2,05021
AR, Cleburne,2,05023
AR, Columbia,2,05027
AR, Craighead,2,05031
AR, Crawford,2,05033
AR, Crittenden,4,05035
AR, Cross,2,05037
AR, Drew,2,05043
AR, Faulkner,2,05045
AR, Garland,6,05051
AR, Greene,2,05055
AR, Hempstead,2,05057
AR, Hot Spring,2,05059
AR, Howard,2,05061
AR, Izard,2,05065
AR, Johnson,2,05071
AR, Lawrence,2,05075
AR, Lincoln,2,05079
AR, Logan,2,05083
AR, Lonoke,4,05085
AR, Mississippi,2,05093
AR, Monroe,4,05095
AR, Nevada,2,05099
AR, Ouachita,6,05103
AR, Phillips,2,05107
AR, Pope,2,05115
AR, Pulaski,10,05119
AR, Randolph,2,05121
AR, Saline,2,05125
AR, Sevier,2,05133
AR, St. Francis,4,05123
AR, Stone,2,05137
AR, Union,2,05139
AR, Washington,2,05143
AR, White,4,05145
AR, Woodruff,2,05147
AR, Yell,2,05149
AZ, Apache,14,04001
AZ, Cochise,10,04003
AZ, Coconino,16,04005
AZ, Gila,8,04007
AZ, Graham,4,04009
AZ, Maricopa,22,04013
AZ, Mohave,10,04015
AZ, Navajo,14,04017
AZ, Pima,4,04019
AZ, Pinal,8,04021
AZ, Santa Cruz,2,04023
AZ, Yavapai,12,04025
AZ, Yuma,6,04027
CA, Alameda,16,06001
CA, Amador,4,06005
CA, Butte,6,06007
CA, Calaveras,2,06009
CA, Colusa,2,06011
CA, Contra Costa,26,06013
CA, El Dorado,6,06017
CA, Fresno,12,06019
CA, Glenn,2,06021
CA, Humboldt,6,06023
CA, Imperial,6,06025
CA, Inyo,4,06027
CA, Kern,12,06029
CA, Kings,4,06031
CA, Lake,6,06033
CA, Lassen,8,06035
CA, Los Angeles,118,06037
CA, Madera,6,06039
CA, Marin,10,06041
CA, Mariposa,6,06043
CA, Mendocino,2,06045
CA, Merced,8,06047
CA, Mono,2,06051
CA, Monterey,16,06053
CA, Napa,4,06055
CA, Nevada,2,06057
CA, Orange,32,06059
CA, Placer,8,06061
CA, Plumas,2,06063
CA, Riverside,32,06065
CA, Sacramento,24,06067
CA, San Benito,2,06069
CA, San Bernardino,40,06071
CA, San Diego,48,06073
CA, San Joaquin,8,06077
CA, San Luis Obispo,8,06079
CA, San Mateo,10,06081
CA, Santa Barbara,4,06083
CA, Santa Clara,16,06085
CA, Santa Cruz,10,06087
CA, Shasta,4,06089
CA, Siskiyou,2,06093
CA, Solano,10,06095
CA, Sonoma,10,06097
CA, Stanislaus,10,06099
CA, Sutter,2,06101
CA, Tehama,2,06103
CA, Tulare,8,06107
CA, Tuolumne,6,06109
CA, Ventura,12,06111
CA, Yolo,4,06113
CA, Yuba,6,06115
CO, Adams,6,08001
CO, Alamosa,8,08003
CO, Arapahoe,4,08005
CO, Archuleta,4,08007
CO, Baca,2,08009
CO, Bent,2,08011
CO, Boulder,10,08013
CO, Chaffee,6,08015
CO, Cheyenne,2,08017
CO, Conejos,4,08021
CO, Costilla,2,08023
CO, Delta,4,08029
CO, Denver,2,08031
CO, Douglas,4,08035
CO, Eagle,14,08037
CO, El Paso,8,08041
CO, Fremont,6,08043
CO, Garfield,8,08045
CO, Gilpin,4,08047
CO, Gunnison,6,08051
CO, Huerfano,2,08055
CO, Jefferson,10,08059
CO, Kit Carson,2,08063
CO, La Plata,4,08067
CO, Lake,2,08065
CO, Larimer,10,08069
CO, Las Animas,2,08071
CO, Lincoln,2,08073
CO, Logan,4,08075
CO, Mesa,6,08077
CO, Moffat,4,08081
CO, Montezuma,2,08083
CO, Montrose,4,08085
CO, Morgan,8,08087
CO, Otero,4,08089
CO, Ouray,2,08091
CO, Park,4,08093
CO, Phillips,2,08095
CO, Pitkin,4,08097
CO, Prowers,6,08099
CO, Pueblo,2,08101
CO, Rio Grande,2,08105
CO, Routt,4,08107
CO, San Miguel,2,08113
CO, Sedgwick,4,08115
CO, Summit,4,08117
CO, Teller,4,08119
CO, Weld,4,08123
CO, Yuma,4,08125
CT, Fairfield,16,09001
CT, Hartford,22,09003
CT, Litchfield,12,09005
CT, Middlesex,8,09007
CT, New Haven,24,09009
CT, New London,12,09011
CT, Tolland,6,09013
CT, Windham,6,09015
DE, Kent,8,10001
DE, New Castle,10,10003
DE, Sussex,20,10005
FL, Bay,2,12005
FL, Bradford,2,12007
FL, Brevard,6,12009
FL, Broward,6,12011
FL, Charlotte,4,12015
FL, Citrus,8,12017
FL, Clay,2,12019
FL, Collier,2,12021
FL, Columbia,2,12023
FL, Dade,4,12025
FL, De Soto,2,12027
FL, Dixie,2,12029
FL, Escambia,2,12033
FL, Franklin,2,12037
FL, Gadsden,2,12039
FL, Hamilton,4,12047
FL, Hardee,2,12049
FL, Hendry,4,12051
FL, Hernando,2,12053
FL, Highlands,6,12055
FL, Hillsborough,10,12057
FL, Indian River,4,12061
FL, Jackson,2,12063
FL, Jefferson,2,12065
FL, Lake,8,12069
FL, Lee,10,12071
FL, Leon,8,12073
FL, Levy,2,12075
FL, Madison,2,12079
FL, Manatee,10,12081
FL, Marion,6,12083
FL, Martin,10,12085
FL, Monroe,6,12087
FL, Nassau,4,12089
FL, Okaloosa,8,12091
FL, Okeechobee,2,12093
FL, Orange,12,12095
FL, Osceola,4,12097
FL, Palm Beach,10,12099
FL, Pasco,12,12101
FL, Pinellas,10,12103
FL, Polk,14,12105
FL, Putnam,4,12107
FL, Santa Rosa,4,12113
FL, Sarasota,10,12115
FL, Seminole,12,12117
FL, St. Johns,4,12109
FL, St. Lucie,2,12111
FL, Suwannee,4,12121
FL, Taylor,2,12123
FL, Volusia,14,12127
FL, Wakulla,2,12129
FL, Walton,4,12131
GA, Atkinson,2,13003
GA, Baldwin,2,13009
GA, Barrow,4,13013
GA, Bartow,4,13015
GA, Bibb,4,13021
GA, Bleckley,2,13023
GA, Brooks,2,13027
GA, Bryan,2,13029
GA, Bulloch,2,13031
GA, Burke,2,13033
GA, Camden,2,13039
GA, Carroll,2,13045
GA, Catoosa,2,13047
GA, Chatham,4,13051
GA, Chattooga,2,13055
GA, Cherokee,4,13057
GA, Clayton,6,13063
GA, Cobb,10,13067
GA, Coffee,2,13069
GA, Colquitt,4,13071
GA, Columbia,4,13073
GA, Coweta,4,13077
GA, Crisp,2,13081
GA, De Kalb,12,13089
GA, Decatur,2,13087
GA, Dodge,2,13091
GA, Dougherty,6,13095
GA, Douglas,2,13097
GA, Early,4,13099
GA, Effingham,4,13103
GA, Elbert,2,13105
GA, Emanuel,2,13107
GA, Fannin,2,13111
GA, Fayette,2,13113
GA, Floyd,2,13115
GA, Forsyth,2,13117
GA, Fulton,2,13121
GA, Gilmer,2,13123
GA, Gordon,4,13129
GA, Greene,2,13133
GA, Gwinnett,18,13135
GA, Hall,4,13139
GA, Hancock,2,13141
GA, Hart,2,13147
GA, Henry,4,13151
GA, Houston,2,13153
GA, Jackson,2,13157
GA, Jasper,2,13159
GA, Jefferson,2,13163
GA, Jenkins,2,13165
GA, Johnson,2,13167
GA, Lamar,2,13171
GA, Laurens,6,13175
GA, Lee,2,13177
GA, Liberty,2,13179
GA, Macon,2,13193
GA, Mcduffie,2,NA
GA, Mcintosh,2,NA
GA, Meriwether,4,13199
GA, Mitchell,6,13205
GA, Monroe,2,13207
GA, Montgomery,2,13209
GA, Morgan,4,13211
GA, Murray,4,13213
GA, Newton,2,13217
GA, Oglethorpe,2,13221
GA, Paulding,2,13223
GA, Peach,2,13225
GA, Pickens,2,13227
GA, Pierce,2,13229
GA, Polk,4,13233
GA, Pulaski,2,13235
GA, Putnam,2,13237
GA, Randolph,2,13243
GA, Richmond,2,13245
GA, Rockdale,2,13247
GA, Screven,2,13251
GA, Spalding,2,13255
GA, Stephens,2,13257
GA, Sumter,4,13261
GA, Talbot,2,13263
GA, Tattnall,4,13267
GA, Telfair,2,13271
GA, Terrell,2,13273
GA, Tift,2,13277
GA, Toombs,6,13279
GA, Troup,4,13285
GA, Turner,2,13287
GA, Upson,2,13293
GA, Walker,4,13295
GA, Walton,2,13297
GA, Warren,4,13301
GA, Washington,2,13303
GA, White,2,13311
GU, Guam,4,66010
HI, Hawaii,18,15001
HI, Honolulu,12,15003
HI, Kauai,6,15007
HI, Maui,12,15009
IA, Adams,4,19003
IA, Allamakee,2,19005
IA, Appanoose,2,19007
IA, Audubon,2,19009
IA, Benton,4,19011
IA, Black Hawk,2,19013
IA, Boone,2,19015
IA, Bremer,2,19017
IA, Buchanan,4,19019
IA, Buena Vista,4,19021
IA, Calhoun,2,19025
IA, Carroll,6,19027
IA, Cass,2,19029
IA, Cedar,2,19031
IA, Cerro Gordo,6,19033
IA, Chickasaw,2,19037
IA, Clarke,2,19039
IA, Clay,6,19041
IA, Clinton,2,19045
IA, Crawford,2,19047
IA, Dallas,4,19049
IA, Davis,4,19051
IA, Decatur,6,19053
IA, Delaware,4,19055
IA, Des Moines,4,19057
IA, Emmet,2,19063
IA, Fayette,6,19065
IA, Floyd,2,19067
IA, Franklin,2,19069
IA, Fremont,2,19071
IA, Greene,2,19073
IA, Grundy,2,19075
IA, Hamilton,4,19079
IA, Hardin,4,19083
IA, Harrison,4,19085
IA, Henry,2,19087
IA, Howard,2,19089
IA, Ida,4,19093
