Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Western New York,350050-G01,350050,AKRON,MAIN OFFICE,118 MAIN ST,ERIE,AKRON,NY,14001-9998,Active,Owned,1352536,V11839,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1940,"6,568"
Albany,350060-G04,350060,ALBANY,CARRIER ANNEX,747 BROADWAY,ALBANY,ALBANY,NY,12207-9211,Active,Owned,1352566,V18852,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1988,"14,275"
Albany,350060-G10,350060,ALBANY,CARRIER ANNEX II,71 TERMINAL ST,ALBANY,ALBANY,NY,12206-9211,Active,Owned,1464778,16557,Post Office,Carrier Annex (ANX),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,4/1/1998,"16,497"
Albany,350060-G09,350060,ALBANY,FT ORANGE STA,450 CENTRAL AVE,ALBANY,ALBANY,NY,12206-9998,Active,Owned,1363827,V13406,Post Office,Finance Station,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,12/1/1988,"20,979"
Albany,350061-G02,350061,ALBANY,P&DC,30 KARNER RD,ALBANY,ALBANY,NY,12288-9990,Active,Owned,1000003,8238,Administrative Office,Consumer Affairs Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1979,"298,733"
Albany,350061-G02,350061,ALBANY,P&DC,30 KARNER RD,ALBANY,ALBANY,NY,12288-9990,Active,Owned,1433695,V11842,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1979,"298,733"
Albany,350061-G02,350061,ALBANY,P&DC,30 KARNER RD,ALBANY,ALBANY,NY,12288-9990,Active,Owned,1434041,V19948,Administrative Office,District Administrative Office (DM),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1979,"298,733"
Albany,350061-G02,350061,ALBANY,P&DC,30 KARNER RD,ALBANY,ALBANY,NY,12288-9990,Active,Owned,1441026,V11841,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1979,"298,733"
Albany,350061-G03,350061,ALBANY,VMF,30 KARNER RD REAR,ALBANY,ALBANY,NY,12288-9331,Active,Owned,1444421,8820,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,,"18,857"
Western New York,350070-G01,350070,ALBION,MAIN OFFICE,8 S MAIN ST,ORLEANS,ALBION,NY,14411-9998,Active,Owned,1352606,V11847,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1938,"6,902"
West Chester,350175-G01,350175,AMAWALK,MPO,3 MAHOPAC AVE,WESTCHESTER,AMAWALK,NY,10501-9998,Active,Owned,1352920,V11886,Post Office,Administrative Post Office (APO),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,6/1/2000,"1,728"
Albany,350195-G01,350195,AMSTERDAM,MAIN OFFICE,10 CHURCH ST,MONTGOMERY,AMSTERDAM,NY,12010-9998,Active,Owned,1353005,V11906,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1936,"21,002"
