Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Colorado/Wyoming,070090-G02,70090,ALAMOSA,MAIN OFFICE,505 3RD ST,ALAMOSA,ALAMOSA,CO,81101-9997,Active,Owned,1352556,Z11014,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,8/1/1970,"10,891"
Colorado/Wyoming,070090-G02,70090,ALAMOSA,MAIN OFFICE,505 3RD ST,ALAMOSA,ALAMOSA,CO,81101-9997,Active,Owned,1441413,Z11013,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,8/1/1970,"10,891"
Colorado/Wyoming,070090-G02,70090,ALAMOSA,MAIN OFFICE,505 3RD ST,ALAMOSA,ALAMOSA,CO,81101-9997,Active,Owned,1473580,17600,Post Office,Service Hub Facility (SHF),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,8/1/1970,"10,891"
Colorado/Wyoming,070144-G02,70144,ALMA,MAIN OFFICE MODULAR,30 E BUCKSKIN RD,PARK,ALMA,CO,80420-9900,Active,Owned,1352772,Z11018,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Const. by USPS",Land Data on separate record,No,,860
Colorado/Wyoming,070162-G01,70162,ALMONT,MAIN OFFICE MODULAR,500 COUNTY ROAD 742,GUNNISON,ALMONT,CO,81210-9990,Active,Owned,1352794,Z11019,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased",Land Data on separate record,No,12/1/1985,"1,120"
Colorado/Wyoming,070180-G01,70180,AMHERST,MAIN OFFICE,520 MAIN AVE,PHILLIPS,AMHERST,CO,80721-8000,Active,Owned,1352976,Z11024,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased",Land Data on separate record,No,11/1/1988,700
Colorado/Wyoming,070288-G01,70288,ARBOLES,MAIN OFFICE MODULAR,86 COUNTY ROAD 982,ARCHULETA,ARBOLES,CO,81121-9801,Active,Owned,1439555,Z11035,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,10/1/1994,550
Colorado/Wyoming,070414-G01,70415,ARVADA,INDIAN TREE STATION,7765 WADSWORTH BLVD,JEFFERSON,ARVADA,CO,80003-9998,Active,Owned,1367908,Z11527,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,1/1/1991,"15,450"
Colorado/Wyoming,070432-G01,70432,ASPEN,MAIN OFFICE,235 PUPPY SMITH ST,PITKIN,ASPEN,CO,81611-9998,Active,Owned,1353527,Z11046,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1980,"18,415"
Colorado/Wyoming,070468-G02,70468,ATWOOD,MAIN OFFICE MODULAR,16255 FRONT AVE,LOGAN,ATWOOD,CO,80722-9998,Active,Owned,1353639,Z11051,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Const. by USPS",Land Data on separate record,No,9/1/1995,550
