Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Suncoast,110060-G02,110060,ALTAMONTE SPRINGS,MAIN OFFICE,321 MONTGOMERY RD,SEMINOLE,ALTAMONTE SPRINGS,FL,32714-9998,Active,Owned,1352846,Y21355,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,4/1/1987,"23,553"
Gulf Atlantic,110210-G01,110210,APALACHICOLA,MAIN OFFICE,20 AVENUE D STE 101,FRANKLIN,APALACHICOLA,FL,32320-2700,Active,Owned,1353178,Y21368,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1923,"6,369"
Suncoast,110225-G01,110225,APOPKA,MAIN OFFICE,581 N PARK AVE,ORANGE,APOPKA,FL,32712-9998,Active,Owned,1353189,Y21372,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1987,"29,850"
Suncoast,110240-G01,110240,ARCADIA,MAIN OFFICE,109 N POLK AVE,DE SOTO,ARCADIA,FL,34266-9998,Active,Owned,1353254,Y21373,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1937,"13,026"
Gulf Atlantic,110270-G01,110270,ARGYLE,MO MODULAR (BLDG),4757 U S HIGHWAY 90 E,WALTON,ARGYLE,FL,32422-9998,Active,Owned,1353310,Y21375,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,7/1/1998,995
Suncoast,110555-G01,110555,BARTOW,MAIN OFFICE,220 S CENTRAL AVE,POLK,BARTOW,FL,33830-9998,Active,Owned,1354138,Y21414,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1918,"9,551"
South Florida,110720-G02,110720,BELLE GLADE,MAIN OFFICE,1340 NW AVENUE L,PALM BEACH,BELLE GLADE,FL,33430-9998,Active,Owned,1354504,Y21448,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,7/1/1982,"7,460"
Gulf Atlantic,110735-G01,110735,BELLEVIEW,MAIN OFFICE,4800 SE 110TH ST,MARION,BELLEVIEW,FL,34420-9998,Active,Owned,1354522,Y21456,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1988,"20,500"
South Florida,110855-G06,110859,BOCA RATON,BOCA RIO BRANCH,8185 VIA ANCHO RD,PALM BEACH,BOCA RATON,FL,33433-9998,Active,Owned,1439195,Y27402,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/1998,"23,820"
South Florida,110855-G01,110855,BOCA RATON,CARRIER ANNEX,2800 N MILITARY TRL,PALM BEACH,BOCA RATON,FL,33431-9998,Active,Owned,1355319,Y21477,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,3/1/1982,"27,600"
South Florida,110855-G10,110858,BOCA RATON,WEST BOCA CARRIER ANNEX,21850 JUDGE WINIKOFF RD,PALM BEACH,BOCA RATON,FL,33428-9992,Active,Owned,1386962,Y27868,Post Office,Carrier Annex (ANX),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,1/1/1999,"13,575"
Suncoast,110870-G02,110870,BOKEELIA,MAIN OFFICE,15980 STRINGFELLOW RD,LEE,BOKEELIA,FL,33922-9998,Active,Owned,1355348,Y21479,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,6/1/1993,"5,763"
Suncoast,110900-G01,110901,BONITA SPRINGS,BEACH ROAD STATION,9071 BONITA BEACH RD SE,LEE,BONITA SPRINGS,FL,34135-9974,Active,Owned,1355399,2315,Post Office,Finance Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,7/1/1979,"6,133"
Suncoast,110900-G02,110900,BONITA SPRINGS,MAIN OFFICE,26150 OLD 41 RD,LEE,BONITA SPRINGS,FL,34135-6632,Active,Owned,1355403,Y21486,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1998,"21,462"
South Florida,110960-G02,110962,BOYNTON BEACH,JOG ROAD BRANCH,6400 BOYNTON BEACH BLVD,PALM BEACH,BOYNTON BEACH,FL,33437-9998,Active,Owned,1439158,Y27116,Post Office,Branch,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,5/1/1997,"27,580"
South Florida,110960-G01,110964,BOYNTON BEACH,MAIN OFFICE,1530 W BOYNTON BEACH BLVD,PALM BEACH,BOYNTON BEACH,FL,33436-9998,Active,Owned,1355586,Y21491,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,4/1/1987,"11,300"
Suncoast,110975-G04,110977,BRADENTON, RIVER BRANCH,4112 53RD AVE E,MANATEE,BRADENTON,FL,34203-9998,Active,Owned,1438628,Y21496,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,4/1/1986,"13,196"
Suncoast,110975-G02,110976,BRADENTON,57TH AVENUE BRANCH,2005 57TH AVE W,MANATEE,BRADENTON,FL,34207-9998,Active,Owned,1438677,Y21832,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1975,"15,119"
Suncoast,110975-G09,110979,BRADENTON,LAKEWOOD RANCH BRANCH,5910 POST BLVD,MANATEE,BRADENTON,FL,34211-9998,Active,Owned,1449514,11815,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,,"18,860"
Suncoast,110975-G01,110975,BRADENTON,MAIN OFFICE,824 MANATEE AVE W,MANATEE,BRADENTON,FL,34205-9998,Active,Owned,1355611,Y21497,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1937,"7,711"
Suncoast,110975-G03,110978,BRADENTON,PALMA SOLA BRANCH,115 75TH ST W,MANATEE,BRADENTON,FL,34209-9998,Active,Owned,1438790,Y22654,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,10/1/1984,"9,140"
Suncoast,110975-G06,110975,BRADENTON,PARCEL POST ANNEX,815 4TH AVE W,MANATEE,BRADENTON,FL,34205-8609,Active,Owned,1355610,Y27864,Post Office,Carrier Annex (ANX),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,1/1/1956,"13,600"
