Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Honolulu,140100-G01,140100,AIEA,MAIN OFFICE,99-040 KAUHALE ST,HONOLULU,AIEA,HI,96701-9998,Active,Owned,1352455,Z12107,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,8/1/1992,"8,924"
Honolulu,140300-G01,140300,CAPTAIN COOK,MAIN OFFICE,82-6110 MAMALAHOA HWY,HAWAII,CAPTAIN COOK,HI,96704-9998,Active,Owned,1356970,Z12124,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,1/1/1978,"3,074"
Honolulu,140500-G03,140500,EWA BEACH,BARBERS POINT STATION,91-1049 LEXINGTON ST,HONOLULU,KAPOLEI,HI,96707-2115,Active,Owned,1439656,Z12118,Post Office,Finance Branch,"USPS Building, Transferred","USPS Land, Transferred",No,,"4,960"
Honolulu,140500-G02,140500,EWA BEACH,MAIN OFFICE,91-760 PAPIPI RD,HONOLULU,EWA BEACH,HI,96706-9998,Active,Owned,1362886,Z12138,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,5/1/1983,"10,738"
Honolulu,141300-G01,141300,HANALEI,MAIN OFFICE,5-5226 KUHIO HWY,KAUAI,HANALEI,HI,96714-9997,Active,Owned,1366118,Z12153,Post Office,Main Post Office,"USPS Building, Const. by USPS",Land Data on separate record,No,3/1/1976,"2,116"
Honolulu,141900-G03,141900,HILO,MAIN OFFICE,1299 KEKUANAOA ST,HAWAII,HILO,HI,96720-9998,Active,Owned,1367059,Z12171,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,1/1/1978,"29,703"
Honolulu,142200-G01,142200,HONOKAA,MAIN OFFICE,45-490 LEHUA ST,HAWAII,HONOKAA,HI,96727-9998,Active,Owned,1367335,Z12182,Post Office,Main Post Office,Unknown,Unknown,No,3/1/1984,"4,805"
Honolulu,142401-G37,142401,HONOLULU,CARRIER ANNEX,3600 AOLELE ST RM 400,HONOLULU,HONOLULU,HI,96820-9711,Active,Owned,1439667,Z12264,Post Office,Station,"USPS Building, Const. by USPS",Land Data on separate record,No,12/1/1998,"39,591"
Honolulu,142400-G38,142400,HONOLULU,DOWNTOWN RETAIL ,335 MERCHANT ST FL GROUND,HONOLULU,HONOLULU,HI,96813-9998,Active,Owned,1439659,Z12129,Post Office,Station,Lease Purchase,No Land,Yes,10/1/2006,"11,440"
Honolulu,142400-G39,142400,HONOLULU,DOWNTOWN UNIT #2 CARRIER,335 MERCHANT ST UNIT #2,HONOLULU,HONOLULU,HI,96813-9998,Active,Owned,,,,,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,10/1/2006,"22,500"
Honolulu,142400-G20,142411,HONOLULU,HAWAII KAI STATION,7040 HAWAII KAI DR,HONOLULU,HONOLULU,HI,96825-9998,Active,Owned,1366505,Z12158,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1976,"14,685"
Honolulu,142400-G35,142407,HONOLULU,KAPALAMA STATION,1271 N KING ST,HONOLULU,HONOLULU,HI,96817-9998,Active,Owned,1368694,Z12221,Post Office,Station,Unknown,Unknown,Yes,5/1/1972,"15,952"
Honolulu,142400-G11,142409,HONOLULU,MAKIKI STATION,1111 LUNALILO ST,HONOLULU,HONOLULU,HI,96822-9998,Active,Owned,1371519,Z12271,Post Office,Station,"USPS Building, Const. by USPS",Land Data on separate record,Yes,5/1/1976,"16,111"
Honolulu,142401-G10,142401,HONOLULU,P&DC,3600 AOLELE ST,HONOLULU,HONOLULU,HI,96820-3668,Active,Owned,1000037,8201,Administrative Office,Consumer Affairs Office,Unknown,Unknown,Yes,8/1/1974,"330,279"
