Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Hawkeye,180108-G01,180108,ALBIA,MAIN OFFICE,104 BENTON AVE W,MONROE,ALBIA,IA,52531-1963,Active,Owned,1352599,W10016,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1933,"8,708"
Hawkeye,180162-G01,180162,ALLEMAN,MAIN OFFICE MODULAR,14172 NE 6TH ST,POLK,ALLEMAN,IA,50007-7702,Active,Owned,1352713,W10022,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,5/1/1988,700
Hawkeye,180207-G01,180207,ALTA,MAIN OFFICE,106 S CHEROKEE ST,BUENA VISTA,ALTA,IA,51002-9901,Active,Owned,1352829,W10029,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,11/1/1962,"2,790"
Hawkeye,180270-G01,180270,AMES,MAIN OFFICE,525 KELLOGG AVE,STORY,AMES,IA,50010-9998,Active,Owned,1352959,W10040,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1935,"36,419"
Hawkeye,180279-G01,180279,ANAMOSA,MAIN OFFICE,116 S FORD ST,JONES,ANAMOSA,IA,52205-9998,Active,Owned,1353023,W10042,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1941,"7,788"
Hawkeye,180333-G02,180333,ANKENY,MAIN OFFICE,1011 N ANKENY BLVD,POLK,ANKENY,IA,50023-9998,Active,Owned,1353100,W10046,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1990,"12,129"
Hawkeye,180450-G01,180450,ARTHUR,MAIN OFFICE MODULAR,205 S MAIN ST,IDA,ARTHUR,IA,51431-8053,Active,Owned,1353429,W10061,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,1/1/2000,675
Hawkeye,180504-G01,180504,ATLANTIC,MAIN OFFICE,20 E 5TH ST,CASS,ATLANTIC,IA,50022-6400,Active,Owned,1353605,W10068,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1933,"10,618"
Hawkeye,180531-G01,180531,AUDUBON,MAIN OFFICE,428 TRACY ST,AUDUBON,AUDUBON,IA,50025-1228,Active,Owned,1353671,W10071,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1941,"7,794"
Hawkeye,180612-G02,180612,BALDWIN,MAIN OFFICE MODULAR,4932 HIGHWAY 64,JACKSON,BALDWIN,IA,52207-4400,Active,Owned,1353925,W10084,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,9/1/1997,736
Hawkeye,180639-G01,180639,BARNUM,MAIN OFFICE/MODULAR,404 FRONT ST,WEBSTER,BARNUM,IA,50518-7548,Active,Owned,1354079,W10092,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,10/1/1989,"1,169"
Hawkeye,180720-G01,180720,BEAMAN,MAIN OFFICE,208 CENTER ST,GRUNDY,BEAMAN,IA,50609-8562,Active,Owned,1354311,W10102,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,10/1/1997,675
Hawkeye,180846-G02,180846,BETTENDORF,MAIN OFFICE,4439 DEVILS GLEN RD,SCOTT,BETTENDORF,IA,52722-9998,Active,Owned,1354846,W10125,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1997,"13,433"
Hawkeye,180936-G01,180936,BLOOMFIELD,MAIN OFFICE,202 W JEFFERSON ST,DAVIS,BLOOMFIELD,IA,52537-2068,Active,Owned,1355183,W10138,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1938,"5,182"
Hawkeye,181071-G01,181071,BRANDON,MAIN OFFICE/MODULAR,704 MAIN ST,BUCHANAN,BRANDON,IA,52210-9760,Active,Owned,1355685,W10165,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,6/1/1990,600
Hawkeye,181125-G01,181125,BRIGHTON,MAIN OFFICE,102 N VAN BUREN ST,WASHINGTON,BRIGHTON,IA,52540-8646,Active,Owned,1355857,W10172,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,2/1/1962,"2,488"
Hawkeye,181260-G02,181260,BURLINGTON,MAIN OFFICE,300 N MAIN ST STE 100,DES MOINES,BURLINGTON,IA,52601-9998,Active,Owned,1356387,W10193,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1961,"32,668"
Hawkeye,181260-G02,181260,BURLINGTON,MAIN OFFICE,300 N MAIN ST STE 100,DES MOINES,BURLINGTON,IA,52601-9998,Active,Owned,1473640,17661,Post Office,Service Hub Facility (SHF),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1961,"32,668"
