Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Kentuckiana,200271-G02,200264,ASHLAND,MAIN OFFICE,1140 CARTER AVE,BOYD,ASHLAND,KY,41101-9998,Active,Owned,1353484,X14216,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1986,"45,424"
Kentuckiana,200271-G02,200264,ASHLAND,MAIN OFFICE,1140 CARTER AVE,BOYD,ASHLAND,KY,41101-9998,Active,Owned,1473652,17673,Post Office,Service Hub Facility (SHF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1986,"45,424"
Kentuckiana,200304-G01,200304,AUSTIN,MAIN OFFICE,3453 AUSTIN TRACY RD,BARREN,AUSTIN,KY,42123-9998,Active,Owned,1353726,X14226,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,8/1/1988,600
Kentuckiana,200304-G01,200304,AUSTIN,MAIN OFFICE,3453 AUSTIN TRACY RD,BARREN,AUSTIN,KY,42123-9998,Active,Owned,1462237,16303,Post Office,Non Personnel Unit (NPU),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,8/1/1988,600
Kentuckiana,200376-G02,200376,BARBOURVILLE,MAIN OFFICE,122 N ALLISON AVE,KNOX,BARBOURVILLE,KY,40906-9998,Active,Owned,1354027,X14245,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1990,"11,359"
Kentuckiana,200508-G01,200508,BEECH GROVE,MAIN OFFICE,435 MAIN ST,MCLEAN,BEECH GROVE,KY,42322-9998,Active,Owned,1354423,X14289,Post Office,Remotely Managed Post Office (RMPO),USPS Personal Property,Land Data on separate record,No,12/1/1996,650
Kentuckiana,200580-G03,200580,BEREA,MAIN OFFICE,222 GLADES RD,MADISON,BEREA,KY,40403-9998,Active,Owned,1354712,X14312,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1999,"16,467"
Kentuckiana,200660-G02,200660,BIG CLIFTY,MAIN OFFICE MODULAR,50 MAIN ST,GRAYSON,BIG CLIFTY,KY,42712-9998,Active,Owned,1354902,X14332,Post Office,Remotely Managed Post Office (RMPO),USPS Personal Property,Land Data on separate record,No,12/1/1996,650
Kentuckiana,200676-G01,200676,BIG HILL,MAIN OFFICE MODULAR,10050 BATTLEFIELD MEMORIAL HWY,MADISON,BIGHILL,KY,40405-9998,Active,Owned,1354958,X14341,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,8/1/1999,690
Kentuckiana,200680-G01,200680,BIG LAUREL,MAIN OFFICE MODULAR,12564 E HIGHWAY 221,HARLAN,BIG LAUREL,KY,40808-9998,Active,Owned,1354917,X14335,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,,680
Kentuckiana,200700-G01,200700,BIMBLE,MAIN OFFICE,187 KY 1304,KNOX,BIMBLE,KY,40915-9998,Active,Owned,1354975,X14342,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,2/1/1988,928
Kentuckiana,200906-G01,200896,BOWLING GREEN,MAIN OFFICE,5300 SCOTTSVILLE RD,WARREN,BOWLING GREEN,KY,42104-9998,Active,Owned,1355540,X14399,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","Federal Land, Not GSA",Yes,8/1/1990,"92,936"
Kentuckiana,200906-G01,200896,BOWLING GREEN,MAIN OFFICE,5300 SCOTTSVILLE RD,WARREN,BOWLING GREEN,KY,42104-9998,Active,Owned,1473603,17623,Post Office,Service Hub Facility (SHF),"USPS Building, Const. by USPS","Federal Land, Not GSA",Yes,8/1/1990,"92,936"
Kentuckiana,200928-G01,200928,BRANDENBURG,MAIN OFFICE,636 HIGH ST,MEADE,BRANDENBURG,KY,40108-9998,Active,Owned,1355680,X14410,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,10/1/1990,"5,500"
Kentuckiana,200968-G01,200968,BRODHEAD,MAIN OFFICE,170 W MAIN ST,ROCKCASTLE,BRODHEAD,KY,40409-9998,Active,Owned,1355963,X14424,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,2/1/1986,"2,147"
Kentuckiana,200980-G01,200980,BROOKS,MAIN OFFICE,3025 CORAL RIDGE RD,BULLITT,BROOKS,KY,40109-9998,Active,Owned,1356038,X14429,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,10/1/1987,"1,168"
Kentuckiana,201032-G01,201032,BRYANTSVILLE,MAIN OFFICE,302 BRYANTSVILLE RD,GARRARD,BRYANTSVILLE,KY,40410-9998,Active,Owned,1356181,X14448,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased","USPS Land, Prev. Leased",No,9/1/2004,700
Kentuckiana,201192-G01,201192,CALHOUN,MAIN OFFICE,310 W 2ND ST,MCLEAN,CALHOUN,KY,42327-9998,Active,Owned,1356627,X14489,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,7/1/1990,"2,960"
Kentuckiana,201216-G02,201216,CAMPBELLSVILLE,MAIN OFFICE,1410 E BROADWAY ST,TAYLOR,CAMPBELLSVILLE,KY,42718-9998,Active,Owned,1356799,X14503,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1999,"16,094"
Kentuckiana,201224-G01,201224,CAMPTON,MAIN OFFICE,175 MOUNTAIN PARKWAY SPUR RD,WOLFE,CAMPTON,KY,41301-9998,Active,Owned,1356812,X14506,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/2000,"15,666"
Kentuckiana,201288-G01,201288,CARLISLE,MAIN OFFICE,231 W MAIN ST,NICHOLAS,CARLISLE,KY,40311-9998,Active,Owned,1357027,X14524,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1941,"4,052"
Ohio Valley,201304-G01,201304,CARROLLTON,MAIN OFFICE,520 HIGHLAND AVE,CARROLL,CARROLLTON,KY,41008-9998,Active,Owned,1357119,X14530,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1901,"7,074"
Kentuckiana,201356-G01,201356,CAVE CITY,MAIN OFFICE,309 BROADWAY ST,BARREN,CAVE CITY,KY,42127-9998,Active,Owned,1357314,X14547,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,9/1/1964,"2,492"
