Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Greater Michigan,250010-G01,250010,ADA,MAIN OFFICE,7125 HEADLEY ST SE,KENT,ADA,MI,49301-9998,Active,Owned,1352338,Y11315,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Not Prev. Leased",No,7/1/1991,"4,704"
Detroit,250030-G03,250030,ADRIAN,MAIN OFFICE,413 E MAUMEE ST,LENAWEE,ADRIAN,MI,49221-9998,Active,Owned,1352401,Y11318,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,3/1/1960,"11,010"
Greater Michigan,250080-G01,250080,ALANSON,MAIN OFFICE,6263 RIVER ST,EMMET,ALANSON,MI,49706-9998,Active,Owned,1352558,Y11324,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,,"3,600"
Greater Michigan,250080-G01,250080,ALANSON,MAIN OFFICE,6263 RIVER ST,EMMET,ALANSON,MI,49706-9998,Active,Owned,1454786,14889,Post Office,Detached Box Unit,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,,"3,600"
Detroit,250100-G01,250100,ALBION,MAIN OFFICE,307 N SUPERIOR ST,CALHOUN,ALBION,MI,49224-9998,Active,Owned,1352604,Y11327,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1917,"16,306"
Greater Michigan,250140-G01,250140,ALLEGAN,MAIN OFFICE,300 TROWBRIDGE ST,ALLEGAN,ALLEGAN,MI,49010-9998,Active,Owned,1352707,Y11331,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,12/1/1936,"8,550"
Detroit,252491-G03,252496,ALLEN PARK,AUX VMF,17500 OAKWOOD BLVD,WAYNE,ALLEN PARK,MI,48101-2775,Active,Owned,,,,,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,,"5,714"
Greater Michigan,250190-G01,250190,ALMA,MAIN OFFICE,233 N STATE ST,GRATIOT,ALMA,MI,48801-2276,Active,Owned,1352769,Y11339,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,3/1/1938,"9,234"
Detroit,250280-G05,250282,ANN ARBOR,GREEN ROAD STATION,3000 GREEN RD,WASHTENAW,ANN ARBOR,MI,48105-9998,Active,Owned,1365546,Y11998,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,2/1/1991,"16,439"
Detroit,250280-G08,250280,ANN ARBOR,MAIN OFFICE,2075 W STADIUM BLVD,WASHTENAW,ANN ARBOR,MI,48103-9998,Active,Owned,1353102,Y11351,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,11/1/1954,"54,782"
Detroit,250280-G11,250285,ANN ARBOR,VMF,2075 W STADIUM BLVD,WASHTENAW,ANN ARBOR,MI,48103-9993,Active,Owned,1438501,Y18728,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,,"3,962"
Detroit,250520-G01,250520,BAD AXE,MAIN OFFICE,133 N HANSELMAN ST,HURON,BAD AXE,MI,48413-9998,Active,Owned,1353846,Y11390,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",No,6/1/1919,"6,404"
Greater Michigan,250680-G01,250680,BATTLE CREEK,MAIN OFFICE,90 MCCAMLY ST S,CALHOUN,BATTLE CREEK,MI,49016-9000,Active,Owned,1354207,Y11406,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,9/1/1968,"42,332"
Greater Michigan,250690-G01,250690,BAY CITY,MAIN OFFICE,1000 WASHINGTON AVE,BAY,BAY CITY,MI,48708-9998,Active,Owned,1354234,Y11408,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1933,"81,828"
Greater Michigan,250780-G01,250780,BELDING,MAIN OFFICE,201 E MAIN ST,IONIA,BELDING,MI,48809-9998,Active,Owned,1354462,Y11423,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,10/1/1933,"6,916"
Detroit,250800-G01,250800,BELLEVILLE,MAIN OFFICE,45601 S INTERSTATE 94 SERVICE DR,WAYNE,BELLEVILLE,MI,48111-9998,Active,Owned,1354526,Y11425,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,2/1/1991,"18,967"
Greater Michigan,250820-G02,250820,BELMONT,MAIN OFFICE,6220 BELMONT AVE NE,KENT,BELMONT,MI,49306-9600,Active,Owned,1354577,Y11428,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,6/1/1996,"5,596"
Greater Michigan,250860-G01,250860,BENTON HARBOR,MAIN OFFICE,525 RIVERVIEW DR,BERRIEN,BENTON HARBOR,MI,49022-9998,Active,Owned,1354687,Y11430,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,2/1/1970,"28,364"
Greater Michigan,250930-G01,250930,BESSEMER,MAIN OFFICE,212 S SOPHIE ST,GOGEBIC,BESSEMER,MI,49911-9998,Active,Owned,1354796,Y11444,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,10/1/1958,"2,226"
Greater Michigan,250950-G01,250950,BIG BAY,MAIN OFFICE,505 HOFFMAN ST,MARQUETTE,BIG BAY,MI,49808-9800,Active,Owned,1354892,Y11449,Post Office,Part Time Post Office (PTPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,4/1/1957,480
