Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Dakotas,260010-G01,260010,ADA,MAIN OFFICE,114 4TH AVE W,NORMAN,ADA,MN,56510-9998,Active,Owned,1352337,Y24699,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1941,"6,755"
Northland,260110-G01,260110,ALBERT LEA,MAIN OFFICE,141 S NEWTON AVE,FREEBORN,ALBERT LEA,MN,56007-2524,Active,Owned,1352586,Y24712,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,8/1/1937,"24,344"
Northland,260160-G02,260160,ALEXANDRIA,MAIN OFFICE,519 ELM ST,DOUGLAS,ALEXANDRIA,MN,56308-1312,Active,Owned,1352666,Y24719,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,7/1/1976,"8,357"
Northland,260310-G04,260311,ANOKA,ANDOVER BRANCH CARRIER AN,15219 BLUEBIRD ST NW,ANOKA,ANDOVER,MN,55304-3554,Active,Owned,1439346,Y28156,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,,"19,400"
Northland,260310-G02,260310,ANOKA,MAIN OFFICE,2168 7TH AVE,ANOKA,ANOKA,MN,55303-1713,Active,Owned,1353132,Y24737,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1977,"11,800"
Northland,260620-G02,260620,BAUDETTE,MAIN OFFICE,119 1ST AVE NW,LAKE OF THE WOODS,BAUDETTE,MN,56623-2863,Active,Owned,1354218,Y24791,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,6/1/1966,"11,120"
Dakotas,260750-G02,260750,BELTRAMI,MAIN OFFICE,214 E 6TH ST,POLK,Beltrami,MN,56517-9000,Active,Owned,1354599,Y24813,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,Yes,8/1/2017,418
Northland,260770-G02,260770,BEMIDJI,MAIN OFFICE/P&DF,401 IRVINE AVE NW,BELTRAMI,BEMIDJI,MN,56601-2602,Active,Owned,1438978,Y24816,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1984,"16,640"
Northland,260770-G02,260770,BEMIDJI,MAIN OFFICE/P&DF,401 IRVINE AVE NW,BELTRAMI,BEMIDJI,MN,56601-2602,Active,Owned,1441384,Y24815,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1984,"16,640"
Northland,260850-G01,260850,BIG FALLS,MAIN OFFICE,305 2ND ST NW,KOOCHICHING,BIG FALLS,MN,56627-9725,Active,Owned,1354908,Y24832,Post Office,Part Time Post Office (PTPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,9/1/1966,"1,095"
