Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Dakotas,290144-G01,290144,ALZADA,MAIN OFFICE-MODULAR,13700 HIGHWAY 212,CARTER,ALZADA,MT,59311-9700,Active,Owned,1352907,Z13012,Post Office,Part Time Post Office (PTPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,8/1/1997,915
Dakotas,290162-G01,290162,ANACONDA,MAIN OFFICE,218 MAIN ST,DEER LODGE,ANACONDA,MT,59711-9998,Active,Owned,1353010,Z13014,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1933,"14,789"
Dakotas,290414-G01,290414,BAKER,MAIN OFFICE,130 S 1ST ST W,FALLON,BAKER,MT,59313-9705,Active,Owned,1353894,Z13025,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,12/1/1961,"3,498"
Dakotas,290432-G01,290432,BALLANTINE ,MAIN OFFICE - MODULAR,1605 ASH ST,YELLOWSTONE,BALLANTINE,MT,59006-9998,Active,Owned,1353939,Z13026,Post Office,Part Time Post Office (PTPO),"USPS Building, Const. by USPS",Land Data on separate record,No,2/1/1998,"1,500"
Dakotas,290558-G02,290558,BELGRADE,MAIN OFFICE,96 N WEAVER ST,GALLATIN,BELGRADE,MT,59714-9998,Active,Owned,1354479,Z13031,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,8/1/1981,"6,759"
Dakotas,290666-G01,290666,BIDDLE,MAIN OFFICE-MODULAR,218 S STATE HIGHWAY 59,POWDER RIVER,BIDDLE,MT,59314-9700,Active,Owned,1354886,Z13037,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,,860
Dakotas,290702-G02,290702,BIG FORK,MAIN OFFICE,265 HOLT DR,FLATHEAD,BIGFORK,MT,59911-3710,Active,Owned,1354952,Z13042,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/1998,"16,377"
Dakotas,290738-G01,290738,BIG SANDY,MAIN OFFICE,103 JOHANNES AVE,CHOUTEAU,BIG SANDY,MT,59520-9711,Active,Owned,1354932,Z13039,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased",Lease Purchase,No,3/1/1967,"2,438"
Dakotas,290720-G02,290720,BIGHORN,MAIN OFFICE,138 BIGHORN RD,TREASURE,BIGHORN,MT,59010-9998,Active,Owned,1354959,Z13043,Post Office,Part Time Post Office (PTPO),"USPS Building, Not Prev. Leased",Land Data on separate record,Yes,8/1/2017,418
Dakotas,290774-G01,290780,BILLINGS,DOWNTOWN STATION,2602 1ST AVE N FL 1,YELLOWSTONE,BILLINGS,MT,59101-2366,Active,Owned,1361247,Z13128,Post Office,Finance Station,"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1913,"53,432"
Dakotas,290774-G01,290780,BILLINGS,DOWNTOWN STATION,2602 1ST AVE N FL 1,YELLOWSTONE,BILLINGS,MT,59101-2366,Active,Owned,1444499,8900,Vehicle Maintenance,Vehicle Maintenance Facility (VMF),"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1913,"53,432"
Dakotas,290774-G01,290780,BILLINGS,DOWNTOWN STATION,2602 1ST AVE N FL 1,YELLOWSTONE,BILLINGS,MT,59101-2366,Active,Owned,1444691,9157,Administrative Office,Postal Inspection Service Field Division (USPIS),"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1913,"53,432"
Dakotas,290774-G01,290780,BILLINGS,DOWNTOWN STATION,2602 1ST AVE N FL 1,YELLOWSTONE,BILLINGS,MT,59101-2366,Active,Owned,1445264,10025,Administrative Office,District Emergency Command Center (ECC),"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1913,"53,432"
Dakotas,290774-G10,290781,BILLINGS,HEIGHTS STATION,710 WICKS LN,YELLOWSTONE,BILLINGS,MT,59105-9998,Active,Owned,1366653,1254,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/2000,"16,525"
Dakotas,290775-G02,290772,BILLINGS,P&DC,841 S 26TH ST,YELLOWSTONE,BILLINGS,MT,59101-4566,Active,Owned,1354967,Z13046,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1975,"177,799"
Dakotas,290775-G02,290772,BILLINGS,P&DC,841 S 26TH ST,YELLOWSTONE,BILLINGS,MT,59101-4566,Active,Owned,1439727,Z13045,Network Facilities,Network Distribution Center (NDC/ASF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1975,"177,799"
Dakotas,290775-G02,290772,BILLINGS,P&DC,841 S 26TH ST,YELLOWSTONE,BILLINGS,MT,59101-4566,Active,Owned,1441424,Z13044,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1975,"177,799"
Dakotas,290774-G05,290783,BILLINGS,PIONEER STATION,724 15TH ST W,YELLOWSTONE,BILLINGS,MT,59102-4170,Active,Owned,1377625,Z13338,Post Office,Station,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,1/1/1996,"7,497"
Dakotas,290792-G01,290792,BIRNEY,MAIN OFFICE-MODULAR,302 COMMERCIAL ST,ROSEBUD,BIRNEY,MT,59012-9700,Active,Owned,1355017,Z13048,Post Office,Part Time Post Office (PTPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,10/1/1994,550
Dakotas,290900-G01,290900,BOULDER,MAIN OFFICE,126 S MAIN ST,JEFFERSON,BOULDER,MT,59632-9734,Active,Owned,1355493,Z13054,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,8/1/1971,"3,276"
Dakotas,290990-G02,290990,BOZEMAN,MAIN OFFICE,2201 BAXTER LN,GALLATIN,BOZEMAN,MT,59718-9998,Active,Owned,1355595,Z13058,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,3/1/1998,"28,857"
Dakotas,291152-G01,291152,BROWNING,MAIN OFFICE,316 N PIEGAN ST,GLACIER,BROWNING,MT,59417-9998,Active,Owned,1356076,Z13066,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,3/16/1998,"10,294"
Dakotas,291224-G01,291224,BUTTE,MAIN OFFICE/CSNPF,701 DEWEY BLVD,BEAVERHEAD,BUTTE,MT,59701-9997,Active,Owned,1356496,Z13071,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1980,"37,552"
Dakotas,291224-G01,291224,BUTTE,MAIN OFFICE/CSNPF,701 DEWEY BLVD,BEAVERHEAD,BUTTE,MT,59701-9997,Active,Owned,1441425,Z13070,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1980,"37,552"
