Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Nevada Sierra,310160-G02,310160,ALAMO,MAIN OFFICE,47 N 1ST ST E,LINCOLN,ALAMO,NV,89001-9800,Active,Owned,1352551,Z14306,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,8/1/1982,"1,704"
Nevada Sierra,310960-G01,310960,BOULDER CITY,MAIN OFFICE,1101 COLORADO ST,CLARK,BOULDER CITY,NV,89005-9998,Active,Owned,1355487,Z14329,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1991,"14,501"
Nevada Sierra,311360-G02,311360,CARSON CITY,MAIN OFFICE,1111 S ROOP ST,CARSON CITY,CARSON CITY,NV,89701-7552,Active,Owned,1357133,Z14342,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/2001,"36,327"
Nevada Sierra,312320-G01,312320,DYER NV,MAIN OFFICE MODULAR,1 VALLEY CENTER RD,ESMERALDA,DYER,NV,89010-9998,Active,Owned,,,,,"USPS Building, Not Prev. Leased",Land Data on separate record,No,7/1/1976,500
Nevada Sierra,312560-G01,312560,ELKO,MAIN OFFICE,275 3RD ST,ELKO,ELKO,NV,89801-3618,Active,Owned,1362345,Z14401,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,10/1/1933,"11,590"
Nevada Sierra,312560-G02,312561,ELKO,P&DC & ASPEN STATION,500 ASPEN WAY,ELKO,ELKO,NV,89801-9997,Active,Owned,1353528,Z18947,Post Office,Station,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,8/1/1994,"15,944"
Nevada Sierra,312560-G02,312561,ELKO,P&DC & ASPEN STATION,500 ASPEN WAY,ELKO,ELKO,NV,89801-9997,Active,Owned,1441443,Z14400,Mail Processing,Processing and Distribution Center (PDC),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,8/1/1994,"15,944"
Nevada Sierra,312560-G02,312561,ELKO,P&DC & ASPEN STATION,500 ASPEN WAY,ELKO,ELKO,NV,89801-9997,Active,Owned,1473619,17640,Post Office,Service Hub Facility (SHF),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,8/1/1994,"15,944"
Nevada Sierra,312640-G04,312640,ELY,MAIN OFFICE,2600 BRISTLECONE AVE,WHITE PINE,ELY,NV,89301-3140,Active,Owned,1362519,Z14404,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1999,"15,039"
Nevada Sierra,312640-G04,312640,ELY,MAIN OFFICE,2600 BRISTLECONE AVE,WHITE PINE,ELY,NV,89301-3140,Active,Owned,1473669,17690,Post Office,Service Hub Facility (SHF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1999,"15,039"
Nevada Sierra,312880-G02,312880,FALLON,MAIN OFFICE,120 N MAINE ST,CHURCHILL,FALLON,NV,89406-2930,Active,Owned,1363087,Z14408,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,10/1/1978,"9,300"
Nevada Sierra,312960-G01,312960,FERNLEY,MAIN OFFICE,315 E MAIN ST,LYON,FERNLEY,NV,89408-7747,Active,Owned,1363335,Z14413,Post Office,Administrative Post Office (APO),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,8/13/2009,"8,020"
Nevada Sierra,313120-G01,313120,GABBS,MAIN OFFICE BLDG,101 4TH ST,NYE,GABBS,NV,89409-9800,Active,Owned,1364291,Z14416,Post Office,Part Time Post Office (PTPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,4/1/2000,"1,500"
Nevada Sierra,313280-G02,313280,GENOA,MAIN OFFICE,2244 FOOTHILL RD,DOUGLAS,GENOA,NV,89411-9998,Active,Owned,1364623,Z14423,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,7/1/1999,"3,789"
Nevada Sierra,313360-G01,313360,GERLACH,MAIN OFFICE,345 E SUNSET BLVD,WASHOE,GERLACH,NV,89412-9800,Active,Owned,1364685,Z14424,Post Office,Part Time Post Office (PTPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,,"1,120"
