Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Western Pennsylvania,410008-G02,410008,AARONSBURG,MAIN OFFICE,164 S RACHELS WAY,CENTRE,AARONSBURG,PA,16820-9998,Active,Owned,1352256,X16877,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Const. by USPS",Land Data on separate record,No,11/1/1999,"1,352"
Philadelphia Metropolitan,410016-G01,410016,ABINGTON,MAIN OFFICE,1925 KEITH RD,MONTGOMERY,ABINGTON,PA,19001-9998,Active,Owned,,,,,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",Yes,3/1/1965,"6,592"
Western Pennsylvania,410052-G01,410052,ADAMSVILLE,MAIN OFFICE,NW Corner of SR18 and Adamsville Rd,CRAWFORD,ADAMSVILLE,PA,16110-9800,Active,Owned,1352366,X16896,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Not Prev. Leased",Land Data on separate record,No,,0
Central Pennsylvania,410076-G02,410076,AKRON,MAIN OFFICE,100 N 7TH ST,LANCASTER,AKRON,PA,17501-9998,Active,Owned,1352533,X16903,Post Office,Main Post Office,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,9/1/1999,"3,049"
Western Pennsylvania,410112-G01,410112,ALIQUIPPA,MAIN OFFICE,517 FRANKLIN AVE,BEAVER,ALIQUIPPA,PA,15001-9998,Active,Owned,1352695,X16927,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1936,"20,795"
Western Pennsylvania,410120-G01,410120,ALLENPORT,MAIN OFFICE,1908 MAIN ST,WASHINGTON,ALLENPORT,PA,15412-1001,Active,Owned,1352732,X16933,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,10/1/1966,888
Central Pennsylvania,414582-G05,414582,ALLENTOWN,AIRPORT BRANCH,1000 POSTAL RD SIDE,LEHIGH,ALLENTOWN,PA,18109-9998,Active,Owned,1432725,269,Post Office,Branch,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,4/1/1964,"112,691"
Central Pennsylvania,414582-G05,414582,ALLENTOWN,AIRPORT BRANCH,1000 POSTAL RD SIDE,LEHIGH,ALLENTOWN,PA,18109-9998,Active,Owned,1436761,X1C330,Post Office,Branch,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,4/1/1964,"112,691"
Central Pennsylvania,410128-G01,410128,ALLENTOWN,MAIN OFFICE,442 W HAMILTON ST,LEHIGH,ALLENTOWN,PA,18101-1611,Active,Owned,1352741,X16937,Post Office,Main Post Office,"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",Yes,3/1/1934,"96,500"
Western Pennsylvania,410140-G01,410140,ALLISON PARK,MAIN OFFICE,4746 WILLIAM FLYNN HWY,ALLEGHENY,ALLISON PARK,PA,15101-9998,Active,Owned,1352758,X16942,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1985,"8,402"
Western Pennsylvania,410144-G01,410144,ALLPORT,MAIN OFFICE,5695 MORRISDALE ALLPORT HWY,CLEARFIELD,ALLPORT,PA,16821-9998,Active,Owned,1352764,X16944,Post Office,Remotely Managed Post Office (RMPO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,1/1/1991,814
Western Pennsylvania,410152-G01,410152,ALTOONA,MAIN OFFICE,1201 11TH AVE,BLAIR,ALTOONA,PA,16601-9721,Active,Owned,1352877,X16954,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1933,"63,808"
