Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Alaska,020078-G01,20078,AKIAK,MAIN OFFICE BLDG,250 OFF DOOPS ST,BETHEL,AKIAK,AK,99552-9800,Active,Owned,,,,,"USPS Building, Const. by USPS",Land Data on separate record,No,3/1/2002,"2,075"
Alaska,020288-G01,20288,AMBLER,MAIN OFFICE,9998 AMBLER AVE,NORTHWEST ARCTIC,AMBLER,AK,99786-9800,Active,Owned,1352927,Z10008,Post Office,Part Time Post Office (PTPO),"USPS Building, Const. by USPS",Land Data on separate record,No,2/1/1986,480
Alaska,020306-G01,20306,ANAKTUVUK PASS,MAIN OFFICE BLDG,1104 SUMMER ST,NORTHWEST ARCTIC,ANAKTUVUK PASS,AK,99721-9800,Active,Owned,1353020,Z10009,Post Office,Part Time Post Office (PTPO),"USPS Building, Const. by USPS",Land Data on separate record,No,11/1/2007,"1,262"
Alaska,020312-G12,20320,ANCHORAGE,EASTCHESTER STATION,800 INGRA ST,ANCHORAGE,ANCHORAGE,AK,99501-9998,Active,Owned,1361901,Z10090,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1985,"14,840"
Alaska,020312-G10,20323,ANCHORAGE,HUFFMAN STATION SOUTH,1221 HUFFMAN PARK DR,ANCHORAGE,ANCHORAGE,AK,99515-9998,Active,Owned,1367579,Z10141,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1985,"14,840"
Alaska,020312-G11,20324,ANCHORAGE,LAKE OTIS STATION,5855 LAKE OTIS PKWY,ANCHORAGE,ANCHORAGE,AK,99507-9998,Active,Owned,1369623,Z10183,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1985,"14,840"
Alaska,020312-G16,20326,ANCHORAGE,MIDTOWN STATION,3721 B ST,ANCHORAGE,ANCHORAGE,AK,99503-9998,Active,Owned,1373018,Z10202,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1986,"40,927"
Alaska,020312-G16,20326,ANCHORAGE,MIDTOWN STATION,3721 B ST,ANCHORAGE,ANCHORAGE,AK,99503-9998,Active,Owned,1440330,Z18397,Administrative Office,District Administrative Office (DM),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1986,"40,927"
Alaska,020312-G16,20326,ANCHORAGE,MIDTOWN STATION,3721 B ST,ANCHORAGE,ANCHORAGE,AK,99503-9998,Active,Owned,1444058,8332,Administrative Office,Consumer Affairs Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1986,"40,927"
Alaska,020312-G14,20327,ANCHORAGE,MULDOON STATION,2420 MULDOON RD,ANCHORAGE,ANCHORAGE,AK,99504-3673,Active,Owned,1374209,Z10208,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1985,"14,840"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1432844,1083,Administrative Office,Post Office Administrative Office (Staff),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1439369,Z10014,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1439416,Z10188,Post Office,Finance Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1440380,Z18882,Network Facilities,Airport Mail Center or Facility (AMC/AMF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1441402,Z10013,Mail Processing,Processing and Distribution Center/Facility (PDC/PDF),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1443427,1084,Other Customer Service,Computerized Forwarding System (CFS),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020313-G05,20325,ANCHORAGE,PDC AMF,4141 POSTMARK DR RM 195,ANCHORAGE,ANCHORAGE,AK,99530-9775,Active,Owned,1448849,11427,Administrative Office,Office of the Inspector General Office (OIG),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,12/1/1976,"266,618"
Alaska,020312-G13,20329,ANCHORAGE,RUSSIAN JACK,801 NORTHWAY DR,ANCHORAGE,ANCHORAGE,AK,99508-9998,Active,Owned,1380145,Z10264,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,1/1/1984,"14,840"
