Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Appalachian,510012-G02,510012,ABINGDON,MAIN OFFICE,300 W MAIN ST,WASHINGTON,ABINGDON,VA,24210-9998,Active,Owned,1352289,X25990,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,1/1/1985,"9,921"
Northern Virginia,510117-G01,510117,ALEXANDRIA,ENGLESIDE BRANCH,8588 RICHMOND HWY,FAIRFAX,ALEXANDRIA,VA,22309-9998,Active,Owned,1437291,X26569,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/2001,"19,340"
Northern Virginia,510118-G01,510118,ALEXANDRIA,FRANCONIA BRANCH,5221 FRANCONIA RD,FAIRFAX,ALEXANDRIA,VA,22310-9998,Active,Owned,1437303,X26658,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,11/1/1988,"19,710"
Northern Virginia,510128-G01,510128,ALEXANDRIA,KINGSTOWNE  BRANCH,5900 BARCLAY DR,FAIRFAX,ALEXANDRIA,VA,22315-9998,Active,Owned,1437703,X2A675,Post Office,Branch,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,3/1/2000,"21,322"
Northern Virginia,510122-G01,510122,ALEXANDRIA,LINCOLNIA BRANCH,6137 LINCOLNIA RD,INDEPENDENT CITY,ALEXANDRIA,VA,22312-9998,Active,Owned,1370497,X27002,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,9/1/1975,"10,225"
Northern Virginia,510114-G05,510114,ALEXANDRIA,MAIN OFFICE,1100 WYTHE ST,ALEXANDRIA,ALEXANDRIA,VA,22314-9998,Active,Owned,1352667,X26003,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,6/1/1986,"19,338"
Northern Virginia,510114-G23,510114,ALEXANDRIA,MEMORIAL STATION,2226 DUKE ST,ALEXANDRIA,ALEXANDRIA,VA,22314-4690,Active,Owned,1372670,X29796,Post Office,Carrier Annex (ANX),"USPS Building, Const. by USPS","USPS Land, Prev. Leased",Yes,,"24,516"
Appalachian,510168-G01,510168,ALTAVISTA,MAIN OFFICE,700 BROAD ST,CAMPBELL,ALTAVISTA,VA,24517-9998,Active,Owned,1352848,X26010,Post Office,Administrative Post Office (APO),"USPS Building, Transferred","USPS Land, Transferred",Yes,6/1/1939,"7,395"
Northern Virginia,510210-G02,510210,AMISSVILLE,MAIN OFFICE,768 VIEWTOWN RD,RAPPAHANNOCK,AMISSVILLE,VA,20106-9998,Active,Owned,1352982,X26022,Post Office,Administrative Post Office (APO),"USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased",No,,"3,055"
Northern Virginia,510246-G01,510246,ANNANDALE,MAIN OFFICE,4270 JOHN MARR DR,FAIRFAX,ANNANDALE,VA,22003-9998,Active,Owned,1353111,X26034,Post Office,Main Post Office,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,10/1/1982,"19,760"
