Owned Area - Building Inventory 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
District,Fin-Sub,Chrgbl Fin No,PO Name,Unit Name,Property Address,County,City,ST,ZIP Code,Property Status,Ownership,FDB ID (All),AMS Locale Key (All),FDB Facility Type (All),FDB Facility Subtype (All),Building Ownership Description,Land Desc,Space Certified Indicator,Bldg Occu Date,Int Sq Ft
Seattle,540028-G02,540028,ABERDEEN,MAIN OFFICE,115 N K ST,ASOTIN,ABERDEEN,WA,98520-9998,Active,Owned,1352278,Z16405,Post Office,Administrative Post Office (APO),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,,"14,366"
Seattle,540364-G01,540364,ANACORTES,MAIN OFFICE,519 COMMERCIAL AVE STE 100,SKAGIT,ANACORTES,WA,98221-9998,Active,Owned,1353011,Z16445,Post Office,Main Post Office,"USPS Building, Transferred","USPS Land, Transferred",Yes,7/1/1938,"19,600"
Seattle,540490-G01,540491,AUBURN,FEDERAL WAY BR,32829 PACIFIC HWY S,KING,FEDERAL WAY,WA,98003-9998,Active,Owned,1363270,Z16787,Post Office,Finance Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",No,3/1/1978,"8,510"
Seattle,540490-G08,540493,AUBURN,MAIN OFFICE,11 3RD ST NW,KING,AUBURN,WA,98002-9998,Active,Owned,1353659,Z16461,Post Office,Main Post Office,"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,1/1/1963,"21,442"
Seattle,540490-G03,540492,AUBURN,TWIN LAKES BRANCH,1815 SW CAMPUS DR,KING,FEDERAL WAY,WA,98023-9998,Active,Owned,1353650,Z16462,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,3/1/1992,"35,200"
Portland,540532-G01,540532,BATTLE GROUND,MAIN OFFICE,418 W MAIN ST,CLARK,BATTLE GROUND,WA,98604-9177,Active,Owned,1354210,Z16480,Post Office,Administrative Post Office (APO),"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,2/1/1990,"10,692"
Seattle,540602-G04,540602,BELLEVUE,BELLEVUE WAY CAX,1171 BELLEVUE WAY NE,KING,BELLEVUE,WA,98004-4292,Active,Owned,1492994,18223,Post Office,Carrier Annex (ANX),"USPS Building, Prev. Leased","USPS Land, Prev. Leased",No,5/1/1963,"35,324"
Seattle,540602-G03,540602,BELLEVUE,CARRIER ANNEX,13400 SE 30TH ST,KING,BELLEVUE,WA,98005-9996,Active,Owned,1454224,14596,Post Office,Carrier Annex (ANX),Unknown,Unknown,Yes,4/1/1990,"12,836"
Seattle,540602-G01,540603,BELLEVUE,CROSSROADS STATION,15731 NE 8TH ST,KING,BELLEVUE,WA,98008-9998,Active,Owned,1359906,Z16662,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,7/1/1979,"11,652"
Seattle,540616-G02,540618,BELLINGHAM,MOUNT BAKER STATION,3150 ORLEANS ST,WHATCOM,BELLINGHAM,WA,98226-9998,Active,Owned,1373959,Z17827,Post Office,Station,"USPS Building, Const. by USPS","USPS Land, Not Prev. Leased",Yes,8/1/1994,"20,368"
